TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T10101,A191RL,1,Gross domestic product,1947Q2,Fisher Quantity Index,"Percent change, annual rate",0,-1.0,T10101
T10101,A191RL,1,Gross domestic product,1947Q3,Fisher Quantity Index,"Percent change, annual rate",0,-0.8,T10101
T10101,A191RL,1,Gross domestic product,1947Q4,Fisher Quantity Index,"Percent change, annual rate",0,6.4,T10101
T10101,A191RL,1,Gross domestic product,1948Q1,Fisher Quantity Index,"Percent change, annual rate",0,6.2,T10101
T10101,A191RL,1,Gross domestic product,1948Q2,Fisher Quantity Index,"Percent change, annual rate",0,6.8,T10101
T10101,A191RL,1,Gross domestic product,1948Q3,Fisher Quantity Index,"Percent change, annual rate",0,2.3,T10101
T10101,A191RL,1,Gross domestic product,1948Q4,Fisher Quantity Index,"Percent change, annual rate",0,0.5,T10101
T10101,A191RL,1,Gross domestic product,1949Q1,Fisher Quantity Index,"Percent change, annual rate",0,-5.4,T10101
T10101,A191RL,1,Gross domestic product,1949Q2,Fisher Quantity Index,"Percent change, annual rate",0,-1.4,T10101
T10101,A191RL,1,Gross domestic product,1949Q3,Fisher Quantity Index,"Percent change, annual rate",0,4.2,T10101
T10101,A191RL,1,Gross domestic product,1949Q4,Fisher Quantity Index,"Percent change, annual rate",0,-3.3,T10101
T10101,A191RL,1,Gross domestic product,1950Q1,Fisher Quantity Index,"Percent change, annual rate",0,16.7,T10101
T10101,A191RL,1,Gross domestic product,1950Q2,Fisher Quantity Index,"Percent change, annual rate",0,12.7,T10101
T10101,A191RL,1,Gross domestic product,1950Q3,Fisher Quantity Index,"Percent change, annual rate",0,16.4,T10101
T10101,A191RL,1,Gross domestic product,1950Q4,Fisher Quantity Index,"Percent change, annual rate",0,7.9,T10101
T10101,A191RL,1,Gross domestic product,1951Q1,Fisher Quantity Index,"Percent change, annual rate",0,5.5,T10101
T10101,A191RL,1,Gross domestic product,1951Q2,Fisher Quantity Index,"Percent change, annual rate",0,7.1,T10101
T10101,A191RL,1,Gross domestic product,1951Q3,Fisher Quantity Index,"Percent change, annual rate",0,8.5,T10101
T10101,A191RL,1,Gross domestic product,1951Q4,Fisher Quantity Index,"Percent change, annual rate",0,0.9,T10101
T10101,A191RL,1,Gross domestic product,1952Q1,Fisher Quantity Index,"Percent change, annual rate",0,4.3,T10101
T10101,A191RL,1,Gross domestic product,1952Q2,Fisher Quantity Index,"Percent change, annual rate",0,0.8,T10101
T10101,A191RL,1,Gross domestic product,1952Q3,Fisher Quantity Index,"Percent change, annual rate",0,2.9,T10101
T10101,A191RL,1,Gross domestic product,1952Q4,Fisher Quantity Index,"Percent change, annual rate",0,13.8,T10101
T10101,A191RL,1,Gross domestic product,1953Q1,Fisher Quantity Index,"Percent change, annual rate",0,7.7,T10101
T10101,A191RL,1,Gross domestic product,1953Q2,Fisher Quantity Index,"Percent change, annual rate",0,3.1,T10101
T10101,A191RL,1,Gross domestic product,1953Q3,Fisher Quantity Index,"Percent change, annual rate",0,-2.2,T10101
T10101,A191RL,1,Gross domestic product,1953Q4,Fisher Quantity Index,"Percent change, annual rate",0,-5.9,T10101
T10101,A191RL,1,Gross domestic product,1954Q1,Fisher Quantity Index,"Percent change, annual rate",0,-1.9,T10101
T10101,A191RL,1,Gross domestic product,1954Q2,Fisher Quantity Index,"Percent change, annual rate",0,0.4,T10101
T10101,A191RL,1,Gross domestic product,1954Q3,Fisher Quantity Index,"Percent change, annual rate",0,4.6,T10101
T10101,A191RL,1,Gross domestic product,1954Q4,Fisher Quantity Index,"Percent change, annual rate",0,8.1,T10101
T10101,A191RL,1,Gross domestic product,1955Q1,Fisher Quantity Index,"Percent change, annual rate",0,11.9,T10101
T10101,A191RL,1,Gross domestic product,1955Q2,Fisher Quantity Index,"Percent change, annual rate",0,6.7,T10101
T10101,A191RL,1,Gross domestic product,1955Q3,Fisher Quantity Index,"Percent change, annual rate",0,5.5,T10101
