"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"RY","Royal Bank of Canada",228.07,16.23,318524806209,2.876309904853773,9.94,9.07
"TD","Toronto-Dominion Bank (The)",132.88,11.22,222079420640,3.25105358217941,29.26,11.81
"SHOP","Shopify Inc. Class A Subordinate Voting Shares",164.67,127.25,214748019792,,44.06,
"AEM","Agnico Eagle Mines Limited",342.63,27.38,171667773561,0.7184791174152876,27.53,-2.1
"ENB","Enbridge Inc.",72.47,27.44,158129540000,5.353939561197737,7.02,15.41
"BMO","Bank of Montreal",196.31,16.06,138633288468,3.40278131526667,19.76,30.95
"BN","Brookfield Corporation Class A Limited Voting Shares",59.82,88.8,134316062750,0.6406813774657305,-6.32,
"BNS","Bank of Nova Scotia (The)",103.48,25.56,127569329405,4.252029377657518,1.82,7.89
"CM","Canadian Imperial Bank Of Commerce",137.79,15.85,127409039190,3.1061760650264896,18.31,8.08
"CNQ","Canadian Natural Resources Ltd.",59.67,18.3,124298994690,3.9383274677392324,-2.95,
"ABX","Barrick Mining Corporation",69.21,16.99,115951692938,3.3197659297789337,15.47,-50.2
"CP","Canadian Pacific Kansas City Limited",119.44,25.25,107595284261,0.7635632953784327,21.44,3.86
"BAM","Brookfield Asset Management Ltd. Class A Limited Voting Shares",63.69,30.6,102588026651,4.284607392055268,,
"WPM","Wheaton Precious Metals Corp.",222.27,71.17,100915411483,0.41701120259144286,18.24,71.76
"CNR","Canadian National Railway Company",153.07,20.46,93586998000,2.3910629123930227,1.77,10.24
"SU","Suncor Energy Inc.",77.05,18.01,91451488466,3.1148604802076574,-3.36,
"TRP","TC Energy Corporation",87.65,26.86,87650000000,4.004563605248146,0.58,-49.25
"MFC","Manulife Financial Corporation",48.57,15.48,81439409599,3.994235124562487,147.39,16.82
"IMO","Imperial Oil Limited",159.55,20.78,77157217678,2.1811344406142275,-4.37,
"ATD","Alimentation Couche-Tard Inc.",82.78,22.84,76634472733,1.0388982846098092,0.86,6.71
"L","Loblaw Companies Limited",63.22,11.14,74292742827,0.8925972793419804,14.57,28.19
"NA","National Bank of Canada",190.37,17.65,73722291182,2.6054525397909334,17.92,16.63
"FNV","Franco-Nevada Corporation",381.24,57.31,73494340460,0.6250714510544539,5.34,66.51
"CCO","Cameco Corporation",161.38,134.39,70286311990,0.14871731317387532,24.18,
"WCN","Waste Connections, Inc.",234.73,39.32,60564891180,0.8167899288544285,25.05,25.46
"K","Kinross Gold Corporation",50.42,18.39,60493916000,0.4345783419278064,26.03,
"GWO","Great-West Lifeco Inc.",65.9,14.82,59727270563,4.0667678300455234,14.16,15.24
"TRI","Thomson Reuters Corporation ,With New Deposit Receip",131.33,20.99,58421163818,2.708467143836138,3.92,12.39
"CVE","Cenovus Energy Inc.",30.39,14.36,57236526000,2.6324448831852583,-11.53,
"DOL","Dollarama Inc.",200.82,41.55,54981545872,0.21073598247186534,14.14,16.3
"CSU","Constellation Software Inc.",2520.66,56.43,53416642010,0.22258138741440733,21.89,11.2
"CSU.DB","Constellation Software Inc. Unsecured Subordinated Floating Rate Debentures, Series 1",117.01,56.43,53416642010,7.606187505341424,21.89,11.2
"FFH","Fairfax Financial Holdings Limited Subordinate Voting Shares",2347.75,7.99,50074467164,0.8800085187945905,3.8,
"NTR","Nutrien Ltd.",102.59,58.97,49585907332,2.9384764596939275,-10.88,137.5
"SLF","Sun Life Financial Inc.",89.4,22.12,49516279546,4.116331096196868,55.1,13.38
"IFC","Intact Financial Corporation",263.35,18.73,46760836036,2.2327700778431745,4.29,45.21
"QSR","Restaurant Brands International Inc.",97.86,24.12,44709427310,3.623155528305743,13.19,17.46
"POW","Power Corporation of Canada Subordinate Voting Shares",68.52,14.11,43651524076,3.5755983654407473,3.3,11.05
"CLS","Celestica Inc.",378.78,49.65,43573571302,,18.85,
"FTS","Fortis Inc.",78.47,22.42,39815678000,3.262393271313878,4.81,-8.44
"PAAS","Pan American Silver Corp.",93.58,26.33,39479904720,1.0522440692455652,47.87,
"TECK.B","Teck Resources Limited Class B Subordinate Voting Shares",80.11,28.74,39080410000,0.6241418050181001,-16.11,
"TECK.A","Teck Resources Limited Class A Multiple Voting Shares",80.05,28.74,39080410000,0.6246096189881324,-16.11,
"WN","George Weston Limited",100.12,11.44,38557218606,1.1903036356372354,-2.23,3.63
"LUN","Lundin Mining Corporation",43.46,,37138031951,0.25310630464795214,10.05,
"FFH.U","Fairfax Financial Holdings Limited Subordinate Voting Shares (quoted in US funds)",1667.5,7.99,36612437397,,3.8,
"H","Hydro One Limited",58.62,26.6,35159209761,2.2729443875810302,4.83,0.82
"PPL","Pembina Pipeline Corporation",59.95,21.18,34844798450,4.737281067556297,-11.17,
"FM","First Quantum Minerals Ltd.",40.84,,34068973040,,-11.77,
"BCE","BCE Inc.",35.85,5.36,33431050539,4.881450488145049,0.75,-2.23
"QSP.UN","Restaurant Brands International Limited Partnership Exchangeable Units",94.01,18.17,31550116152,3.7305359004361236,13.96,17.58
"WSP","WSP Global Inc.",231.07,32.34,31152080081,0.6491539360366988,24.08,20.97
"LUG","Lundin Gold Inc.",128.57,26.21,31077338435,1.2783075367504084,29.78,
"AGI","Alamos Gold Inc. Class A",73.93,23.88,31041787322,0.29538211821993776,30.4,
"RCI.A","Rogers Communications Inc. Class A Shares",55.25,4.29,29847446610,3.6199095022624435,11.42,-5.03
"RCI.B","Rogers Communications Inc. Class B Non-voting Shares",54.44,4.29,29847446610,3.673769287288758,11.42,-5.03
"T","TELUS Corporation Common",18.7,25.83,29190700000,8.949732620320855,3.48,-2.57
"ECN.DB.C","ECN Capital Corp. 6.50% Convertible Senior Unsecured Debentures",102.01,113.06,28739629235,,-11.03,
"BEP.UN","Brookfield Renewable Partners L.P. non-voting limited partnership units",43.37,,28537327375,4.9445146414572285,-7.83,
"ECN.DB.B","ECN Capital Corp. 6.25% Senior Unsecured Debentures",100.25,113.06,28243778363,,-11.03,
"ECN.DB.A","ECN Capital Corp. 6.00% Senior Unsecured Debentures",100.02,113.06,28178979669,,-11.03,
"BBD.A","Bombardier Inc. Class A Multiple Voting Shares",277.93,21.89,27513095307,,21.27,
"BBD.B","Bombardier Inc. Class B Subordinate Voting Shares",281.89,21.89,27513095307,,21.27,
"NWH.DB.I","Northwest Healthcare Properties Real Estate Investment Trust 7.75% Convertible Unsecured Subordinated Debentures",104.25,46.31,26061735848,,8.5,
"RBA","RB Global, Inc.",137.41,51.14,25515937995,1.2308946947092643,52.68,23.73
"NWH.DB.H","Northwest Healthcare Properties Real Estate Investment Trust 6.25% Convertible Unsecured Subordinated Debentures",101,46.31,25249259670,,8.5,
"TOU","Tourmaline Oil Corp.",64.04,17.98,24784166125,3.1230480949406623,-7.87,138.71
"BIP.UN","Brookfield Infrastructure Partners L.P. Limited Partnership Units",53.21,60.02,24542251775,4.655981394474723,16.76,11.35
"MG","Magna International Inc.",86.01,17.63,24238844245,3.139316358562958,3.79,-3.04
"EDV","Endeavour Mining plc",98.15,41,23690465991,2.306571268466633,9.8,
"IVN","Ivanhoe Mines Ltd. Class A",15.6,58.34,22175528996,,,
"PHYS","Sprott Physical Gold Trust transferable, redeemable units",54.73,24.9,22078843130,,-19.35,
"GFL","GFL Environmental Inc. subordinate voting shares",60.28,5.93,21647991405,0.14047722627737227,1.02,
"AG","First Majestic Silver Corporation",43.64,,21520511292,0.10383368469294225,26.15,
"EMA","Emera Incorporated",70.97,18.95,21503910000,4.128505002113569,6.49,-6.42
"GIB.A","CGI Inc. Class A Subordinate Voting Shares",99.76,13.09,21424247505,0.681635926222935,17.55,11.52
"PSLV","Sprott Physical Silver Trust transferable, redeemable units",42.12,,20943544223,,-49.23,
"MRU","Metro Inc.",97.19,28.69,20716242880,1.6771272764687726,4.48,6.37
"EQX","Equinox Gold Corp.",25.6,85.86,20180017126,0.31988671875,24.04,
"BEPC","Brookfield Renewable Corporation Class A Exchangeable Subordinate Voting Shares",58.21,,19836961900,3.6839649544751762,-100,
"IMG","IAMGOLD Corporation",33.56,20.15,19760128000,,35.28,
"DRT.DB.A","DIRTT Environmental Solutions Ltd. 6.25% convertible unsecured subordinated debentures",98.75,,18727335421,,-1.14,
"BNT","Brookfield Wealth Solutions Ltd. Class A Exchangeable Limited Voting Shares",60.65,6.58,18670038456,0.4329087246573784,18.14,
"DIV.DB.A","Diversified Royalty Corp. 6.00% Convertible Unsecured Subordinated Debentures",108,24.71,18389433456,,16.86,
"SAP","Saputo Inc.",43.54,,17644769610,1.8373909049150208,3.1,-13.79
"OVV","Ovintiv Inc.",68.84,56.37,17434319270,2.388608367228356,-16.27,
"TIH","Toromont Industries Ltd.",211.7,33.34,17243361726,1.0581010864430798,8.13,17.67
"GIL","Gildan Activewear Inc.",92.97,22.88,17213581440,1.4652245240400128,0.58,
"DIV.DB.B","Diversified Royalty Corp. 5.75% convertible unsecured subordinated debentures",100.59,24.71,17127713994,,16.86,
"CEF","Sprott Physical Gold and Silver Trust transferable, redeemable units",77.06,1116.35,16563826608,,-73.3,
"WCP","Whitecap Resources Inc.",13.62,11.76,16531956000,5.356828193832599,9.35,
"CJ.DB.A","Cardinal Energy Ltd. 8.25% senior subordinated unsecured debentures",102.5,20.75,16459011608,,-8.78,
"CJ.DB","Cardinal Energy Ltd. 7.75% Senior Unsecured Debentures",102.01,20.75,16380329503,,-8.78,
"PHYS.U","Sprott Physical Gold Trust transferable, redeemable units",40.13,24.9,16143162527,,-19.35,
"IGM","IGM Financial Inc.",67.86,15.48,15956456062,3.6545829649277923,4.83,7.51
"ATRL","AtkinsRéalis Group Inc.",94.55,6.28,15671519257,0.08461131676361713,11.95,-37.15
"HBM","Hudbay Minerals Inc.",38.65,22.69,15338063540,0.0517464424320828,15.12,
"PSLV.U","Sprott Physical Silver Trust transferable, redeemable units",30.79,,15313077605,,-49.23,
"CCL.A","CCL Industries Inc. Unlimited Class A Voting Shares",86.29,18.8,14945428000,1.6572024568316144,6.29,9.5
"CCL.B","CCL Industries Inc. Unlimited Class B Non-Voting Shares",94.88,18.8,14945428000,1.5177065767284992,6.29,9.5
"NGD","New Gold Inc.",18.32,38.23,14503944000,,24.47,
